title,genre,,,,,,
Freddy,"Drama, Mystery, Thriller            ",,,,,,
An Action Hero,Action            ,,,,,,
Kantara,"Action, Adventure, Drama            ",,,,,,
Khakee: The Bihar Chapter,"Action, Crime, Drama            ",,,,,,
Drishyam 2,"Crime, Drama, Mystery            ",,,,,,
Qala,"Drama, History, Music            ",,,,,,
Bhediya,"Comedy, Horror, Thriller            ",,,,,,
Goodbye,"Comedy, Drama, Family            ",,,,,,
RRR (Rise Roar Revolt),"Action, Drama            ",,,,,,
India Lockdown,Drama            ,,,,,,
Cat,"Crime, Drama, Thriller            ",,,,,,
Office Christmas Party,Comedy            ,,,,,,
Chup,"Drama, Romance, Thriller            ",,,,,,
Dharavi Bank,"Crime, Drama, Thriller            ",,,,,,
Vadhandhi: The Fable of Velonie,"Crime, Drama, Mystery            ",,,,,,
Sita Ramam,"Action, Drama, Mystery            ",,,,,,
Brahmastra Part One: Shiva,"Action, Adventure, Fantasy            ",,,,,,
1917,"Action, Drama, War            ",,,,,,
Nazar Andaaz,Comedy            ,,,,,,
Love Today,"Comedy, Drama, Romance            ",,,,,,
College Romance,"Comedy, Drama, Romance            ",,,,,,
Monica O My Darling,"Comedy, Crime, Drama            ",,,,,,
Ready Player One,"Action, Adventure, Sci-Fi            ",,,,,,
Mirzapur,"Action, Crime, Drama            ",,,,,,
Salaam Venky,Drama            ,,,,,,
Blurr,"Drama, Thriller            ",,,,,,
Ponniyin Selvan: I,"Action, Drama, Family            ",,,,,,
Yashoda,"Action, Sci-Fi, Thriller            ",,,,,,
DAMaN,"Adventure, Biography, Drama            ",,,,,,
Dhokha: Round D Corner,"Crime, Thriller            ",,,,,,
Godfather,"Action, Crime, Drama            ",,,,,,
The Help,Drama            ,,,,,,
Ram Setu,"Action, Adventure            ",,,,,,
Raksha Bandhan,"Comedy, Drama, Family            ",,,,,,
The Happening,"Adventure, Drama, Sci-Fi            ",,,,,,
3 Idiots,"Comedy, Drama            ",,,,,,
HIT: The 2nd Case,"Action, Crime, Drama            ",,,,,,
Drishyam,"Crime, Drama, Mystery            ",,,,,,
Tanaav,"Action, Crime, Drama            ",,,,,,
Bridge of Spies,"Drama, History, Thriller            ",,,,,,
Mukhbir - The Story of a Spy,"Drama, Mystery, Thriller            ",,,,,,
Monster,"Action, Adventure, Crime            ",,,,,,
Vikram Vedha,"Action, Crime, Drama            ",,,,,,
Flames,"Comedy, Drama, Romance            ",,,,,,
Ghost in the Shell,"Action, Crime, Drama            ",,,,,,
The Turning,"Drama, Horror, Mystery            ",,,,,,
Breathe: Into the Shadows,"Drama, Thriller            ",,,,,,
Tumbbad,"Drama, Fantasy, Horror            ",,,,,,
